MATCHUP,GAME_ID,SEASON
02/03/2018 Bulls at Clippers,0021700775,2017-18
01/31/2018 Bulls at Trail Blazers,0021700759,2017-18
01/28/2018 Bucks at Bulls,0021700731,2017-18
01/26/2018 Lakers at Bulls,0021700717,2017-18
01/24/2018 Bulls at 76ers,0021700704,2017-18
01/22/2018 Bulls at Pelicans,0021700692,2017-18
01/20/2018 Bulls at Hawks,0021700675,2017-18
01/17/2018 Warriors at Bulls,0021700657,2017-18
01/15/2018 Heat at Bulls,0021700644,2017-18
01/13/2018 Pistons at Bulls,0021700632,2017-18
01/10/2018 Bulls at Knicks,0021700607,2017-18
01/08/2018 Rockets at Bulls,0021700593,2017-18
01/06/2018 Bulls at Pacers,0021700581,2017-18
01/05/2018 Bulls at Mavericks,0021700572,2017-18
01/03/2018 Raptors at Bulls,0021700560,2017-18
01/01/2018 Trail Blazers at Bulls,0021700547,2017-18
12/31/2017 Bulls at Wizards,0021700537,2017-18
12/29/2017 Pacers at Bulls,0021700524,2017-18
12/27/2017 Knicks at Bulls,0021700509,2017-18
12/26/2017 Bulls at Bucks,0021700501,2017-18
12/23/2017 Bulls at Celtics,0021700485,2017-18
12/21/2017 Bulls at Cavaliers,0021700466,2017-18
12/20/2017 Magic at Bulls,0021700458,2017-18
12/18/2017 76ers at Bulls,0021700444,2017-18
12/15/2017 Bulls at Bucks,0021700426,2017-18
12/13/2017 Jazz at Bulls,0021700409,2017-18
12/11/2017 Celtics at Bulls,0021700391,2017-18
12/09/2017 Knicks at Bulls,0021700380,2017-18
12/08/2017 Bulls at Hornets,0021700367,2017-18
12/06/2017 Bulls at Pacers,0021700354,2017-18
12/04/2017 Cavaliers at Bulls,0021700344,2017-18
12/01/2017 Kings at Bulls,0021700322,2017-18
11/30/2017 Bulls at Nuggets,0021700315,2017-18
11/28/2017 Suns at Bulls,0021700299,2017-18
11/26/2017 Heat at Bulls,0021700287,2017-18
11/24/2017 Bulls at Warriors,0021700276,2017-18
11/22/2017 Bulls at Jazz,0021700265,2017-18
11/21/2017 Bulls at Lakers,0021700252,2017-18
11/19/2017 Bulls at Suns,0021700239,2017-18
11/17/2017 Hornets at Bulls,0021700222,2017-18
11/15/2017 Bulls at Thunder,0021700212,2017-18
11/11/2017 Bulls at Spurs,0021700183,2017-18
11/10/2017 Pacers at Bulls,0021700171,2017-18
11/07/2017 Bulls at Raptors,0021700153,2017-18
11/04/2017 Pelicans at Bulls,0021700133,2017-18
11/03/2017 Bulls at Magic,0021700120,2017-18
11/01/2017 Bulls at Heat,0021700110,2017-18
10/28/2017 Thunder at Bulls,0021700079,2017-18
10/26/2017 Hawks at Bulls,0021700065,2017-18
10/24/2017 Bulls at Cavaliers,0021700049,2017-18
10/21/2017 Spurs at Bulls,0021700031,2017-18
10/19/2017 Bulls at Raptors,0021700014,2017-18
04/10/2018 Suns at Mavericks,0021701216,2017-18
04/08/2018 Mavericks at 76ers,0021701198,2017-18
04/06/2018 Mavericks at Pistons,0021701181,2017-18
04/04/2018 Mavericks at Magic,0021701170,2017-18
04/03/2018 Trail Blazers at Mavericks,0021701164,2017-18
04/01/2018 Mavericks at Cavaliers,0021701149,2017-18
03/30/2018 Timberwolves at Mavericks,0021701134,2017-18
03/28/2018 Mavericks at Lakers,0021701123,2017-18
03/27/2018 Mavericks at Kings,0021701113,2017-18
03/24/2018 Hornets at Mavericks,0021701093,2017-18
03/22/2018 Jazz at Mavericks,0021701076,2017-18
03/20/2018 Mavericks at Pelicans,0021701061,2017-18
03/17/2018 Mavericks at Nets,0021701037,2017-18
03/16/2018 Mavericks at Raptors,0021701031,2017-18
03/13/2018 Mavericks at Knicks,0021701009,2017-18
03/11/2018 Rockets at Mavericks,0021700997,2017-18
03/10/2018 Grizzlies at Mavericks,0021700989,2017-18
03/06/2018 Nuggets at Mavericks,0021700961,2017-18
03/04/2018 Pelicans at Mavericks,0021700946,2017-18
03/02/2018 Mavericks at Bulls,0021700930,2017-18
02/28/2018 Thunder at Mavericks,0021700919,2017-18
02/26/2018 Pacers at Mavericks,0021700904,2017-18
02/24/2018 Mavericks at Jazz,0021700890,2017-18
02/23/2018 Mavericks at Lakers,0021700883,2017-18
02/13/2018 Kings at Mavericks,0021700851,2017-18
02/11/2018 Mavericks at Rockets,0021700837,2017-18
02/10/2018 Lakers at Mavericks,0021700830,2017-18
02/08/2018 Mavericks at Warriors,0021700815,2017-18
02/05/2018 Mavericks at Clippers,0021700796,2017-18
02/03/2018 Mavericks at Kings,0021700783,2017-18
01/31/2018 Mavericks at Suns,0021700760,2017-18
01/29/2018 Heat at Mavericks,0021700742,2017-18
01/27/2018 Mavericks at Nuggets,0021700730,2017-18
01/26/2018 Trail Blazers at Mavericks,0021700721,2017-18
01/24/2018 Rockets at Mavericks,0021700706,2017-18
01/22/2018 Wizards at Mavericks,0021700693,2017-18
01/20/2018 Mavericks at Trail Blazers,0021700682,2017-18
01/16/2018 Mavericks at Nuggets,0021700651,2017-18
01/13/2018 Lakers at Mavericks,0021700627,2017-18
01/10/2018 Mavericks at Hornets,0021700603,2017-18
