CITY,NICKNAME,TEAM_ID,W,L,W_HOME,L_HOME,W_ROAD,L_ROAD,TEAM_TURNOVERS,TEAM_REBOUNDS,GP,GS,ACTUAL_MINUTES,ACTUAL_SECONDS,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,OFF_REB,DEF_REB,TOT_REB,AST,PF,STL,TOTAL_TURNOVERS,BLK,PTS,AVG_REB,AVG_PTS,DQ,OFFENSIVE_EFFICIENCY,SCORING_MARGIN,SEASON,GAME_DATE,GAME_ID
OPPONENTS, Celtics,1610612738,1,0,0,0,1,0,0,9,1,5,240,0,42,93,0.452,13,33,0.394,24,28,0.857,11,34,54,21,15,11,11,5,121,54.0,121.0,0,0.5526315789473685,9.0,2017-18,2018-02-24,21700886
Detroit,Pistons,1610612765,0,1,0,1,0,0,0,9,1,5,240,0,37,85,0.435,10,33,0.303,14,21,0.667,12,33,54,16,18,4,13,4,98,54.0,98.0,0,0.5196078431372549,-12.0,2017-18,2018-02-23,21700873
OPPONENTS, Celtics,1610612738,1,0,0,0,1,0,0,10,1,5,240,0,41,85,0.482,17,39,0.436,11,18,0.611,10,32,52,30,22,8,11,5,110,52.0,110.0,0,0.6120689655172413,12.0,2017-18,2018-02-23,21700873
Boston,Celtics,1610612738,0,1,0,1,0,0,0,6,1,5,240,0,42,97,0.433,15,31,0.484,20,21,0.952,11,35,52,24,31,4,8,7,119,52.0,119.0,0,0.559322033898305,-10.0,2017-18,2018-02-14,21700858
OPPONENTS, Clippers,1610612746,1,0,0,0,1,0,2,8,1,5,240,0,44,88,0.5,11,29,0.379,30,33,0.909,7,36,51,26,21,5,9,5,129,51.0,129.0,0,0.603448275862069,10.0,2017-18,2018-02-14,21700858
Boston,Celtics,1610612738,0,1,0,1,0,0,1,11,1,5,240,0,36,89,0.404,10,38,0.263,17,22,0.773,13,30,54,22,14,3,15,4,99,54.0,99.0,0,0.5132743362831859,-22.0,2017-18,2018-02-11,21700835
OPPONENTS, Cavaliers,1610612739,1,0,0,0,1,0,0,7,1,5,240,0,45,84,0.536,16,30,0.533,15,20,0.75,5,36,48,22,20,7,11,6,121,48.0,121.0,0,0.5982142857142857,22.0,2017-18,2018-02-11,21700835
Boston,Celtics,1610612738,0,1,0,1,0,0,0,7,1,5,240,0,34,89,0.382,7,27,0.259,16,20,0.8,12,26,45,16,21,5,10,8,91,45.0,91.0,0,0.4854368932038835,-6.0,2017-18,2018-02-09,21700820
OPPONENTS, Pacers,1610612754,1,0,0,0,1,0,2,11,1,5,240,0,37,83,0.446,5,20,0.25,18,22,0.818,13,40,64,18,20,6,15,5,97,64.0,97.0,0,0.5339805825242718,6.0,2017-18,2018-02-09,21700820
Washington,Wizards,1610612764,0,1,0,1,0,0,2,8,1,5,265,0,38,95,0.4,12,26,0.462,16,20,0.8,17,35,60,28,23,11,22,4,104,60.0,104.0,1,0.515625,-6.0,2017-18,2018-02-08,21700813
OPPONENTS, Celtics,1610612738,1,0,0,0,1,0,0,12,1,5,265,0,39,84,0.464,9,26,0.346,23,34,0.676,7,38,57,16,20,9,18,6,110,57.0,110.0,0,0.4954954954954955,6.0,2017-18,2018-02-08,21700813
Toronto,Raptors,1610612761,1,0,1,0,0,0,0,8,1,5,240,0,40,80,0.5,17,36,0.472,14,17,0.824,5,35,48,29,18,10,15,4,111,48.0,111.0,0,0.5798319327731093,20.0,2017-18,2018-02-06,21700798
OPPONENTS, Celtics,1610612738,0,1,0,0,0,1,0,12,1,5,240,0,33,83,0.398,10,23,0.435,15,20,0.75,9,29,50,21,19,3,17,3,91,50.0,91.0,1,0.4821428571428571,-20.0,2017-18,2018-02-06,21700798
Boston,Celtics,1610612738,1,0,1,0,0,0,0,10,1,5,240,0,35,85,0.412,15,36,0.417,12,17,0.706,9,42,61,24,16,3,11,6,97,61.0,97.0,0,0.5315315315315315,1.0,2017-18,2018-02-04,21700784
OPPONENTS, Trail Blazers,1610612757,0,1,0,0,0,1,0,6,1,5,240,0,36,91,0.396,13,31,0.419,11,14,0.786,10,36,52,21,17,4,8,9,96,52.0,96.0,1,0.5181818181818182,-1.0,2017-18,2018-02-04,21700784
Boston,Celtics,1610612738,1,0,1,0,0,0,1,15,1,5,240,0,40,83,0.482,11,26,0.423,12,20,0.6,5,44,64,27,22,8,10,3,103,64.0,103.0,0,0.5826086956521739,30.0,2017-18,2018-01-31,21700758
OPPONENTS, Knicks,1610612752,0,1,0,0,0,1,0,9,1,5,240,0,28,87,0.322,3,17,0.176,14,21,0.667,9,35,53,16,17,4,14,4,73,53.0,73.0,0,0.4074074074074074,-30.0,2017-18,2018-01-31,21700758
Denver,Nuggets,1610612743,0,1,0,1,0,0,1,11,1,5,240,0,42,93,0.452,10,33,0.303,16,21,0.762,15,32,58,31,14,4,11,3,110,58.0,110.0,0,0.6083333333333333,-1.0,2017-18,2018-01-29,21700743
OPPONENTS, Celtics,1610612738,1,0,0,0,1,0,2,8,1,5,240,0,43,91,0.473,17,36,0.472,8,10,0.8,10,30,48,28,19,4,11,6,111,48.0,111.0,0,0.5916666666666667,1.0,2017-18,2018-01-29,21700743
Golden State,Warriors,1610612744,1,0,1,0,0,0,1,7,1,5,240,0,38,84,0.452,10,27,0.37,23,26,0.885,10,33,50,19,17,9,12,9,109,50.0,109.0,0,0.5428571428571428,4.0,2017-18,2018-01-27,21700728
OPPONENTS, Celtics,1610612738,0,1,0,0,0,1,2,9,1,5,240,0,37,85,0.435,14,28,0.5,17,24,0.708,11,34,54,17,23,6,16,2,105,54.0,105.0,0,0.5046728971962616,-4.0,2017-18,2018-01-27,21700728
